Id,Name,FireInterval,Damage,DamageFalloffPerJump,SearchRadius,JumpRadius,MaxJumps,HeightOffset,HitEffectIds,HitEffectScale
1001,ChainLightning,1.8,6,0.75,80,25,3,30,202;203,6
1002,ChainLightning,1.8,7.5,0.75,80,25,3,30,202;203,6
1003,ChainLightning,1.8,9,0.75,80,25,3,30,202;203,6
1004,ChainLightning,1.8,10.5,0.75,80,25,3,30,202;203,6
1005,ChainLightning,1.8,12,0.75,80,25,3,30,202;203,6
1006,ChainLightning,1.8,13.5,0.75,80,25,3,30,202;203,6
1007,ChainLightning,1.8,15,0.75,80,25,3,30,202;203,6
1008,ChainLightning,1.8,16.5,0.75,80,25,3,30,202;203,6
1009,ChainLightning,1.8,18,0.75,80,25,3,30,202;203,6
1010,ChainLightning,1.8,19.5,0.75,80,25,3,30,202;203,6
