Id,Name,FireInterval,Damage,Radius,HitRadiusMultiplier,ConeAngleDegrees,KnockbackForce,KnockbackDuration,HeightOffset,EffectIds
1001,Cleave,1.8,12,20,1.2,60,30,0.25,30,402
1002,Cleave,1.8,15,22,1.2,60,30,0.25,30,402
1003,Cleave,1.8,18,24,1.2,60,30,0.25,30,402
1004,Cleave,1.8,21,26,1.2,60,30,0.25,30,402
1005,Cleave,1.8,24,28,1.2,60,30,0.25,30,402
1006,Cleave,1.8,27,30,1.2,60,30,0.25,30,402
1007,Cleave,1.8,30,32,1.2,60,30,0.25,30,402
1008,Cleave,1.8,33,34,1.2,60,30,0.25,30,402
1009,Cleave,1.8,36,36,1.2,60,30,0.25,30,402
1010,Cleave,1.8,39,38,1.2,60,30,0.25,30,402
