Id,Name,FireInterval,Damage,ChargeHitCount,MaxCharge,MaxChargePerLevel,InitialCharge,InitialTargetMaxRange,InitialSearchWidth,WarpSearchRadius,WarpInterval,TeleportOffset,HeightOffset,HitEffectIds,HitEffectScale
1001,FlickerStrike,1.8,15,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1002,FlickerStrike,1.8,17.5,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1003,FlickerStrike,1.8,20,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1004,FlickerStrike,1.8,22.5,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1005,FlickerStrike,1.8,25,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1006,FlickerStrike,1.8,27.5,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1007,FlickerStrike,1.8,30,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1008,FlickerStrike,1.8,32.5,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1009,FlickerStrike,1.8,35,2,5,1,3,60,6,200,0.08,3,30,302;801,14
1010,FlickerStrike,1.8,37.5,2,5,1,3,60,6,200,0.08,3,30,302;801,14
