Id,Name,PulseInterval,Damage,Radius,HitRadiusMultiplier,HeightOffset,EffectPath
1001,Nova,1.5,10,15,2,30,Assets/Effect/Herald.efk
1002,Nova,1.5,13,17,2,30,Assets/Effect/Herald.efk
1003,Nova,1.5,16,19,2,30,Assets/Effect/Herald.efk
1004,Nova,1.5,19,21,2,30,Assets/Effect/Herald.efk
1005,Nova,1.5,22,23,2,30,Assets/Effect/Herald.efk
1006,Nova,1.5,25,25,2,30,Assets/Effect/Herald.efk
1007,Nova,1.5,28,27,2,30,Assets/Effect/Herald.efk
1008,Nova,1.5,31,29,2,30,Assets/Effect/Herald.efk
1009,Nova,1.5,34,31,2,30,Assets/Effect/Herald.efk
1010,Nova,1.5,37,33,2,30,Assets/Effect/Herald.efk
