Id,Name,Damage,OrbCount,OrbitRadius,OrbitSpeed,HitRadius,HitInterval,HeightOffset,ActiveDuration,CooldownDuration,SlowMultiplier,SlowDuration,OrbEffectIds,HitEffectIds
1001,FrostOrb,12,2,15,120,10,0.5,30,6,4.0,0.70,1.5,702,303
1002,FrostOrb,16,2,15,120,10,0.5,30,6,3.6,0.66,1.5,702,303
1003,FrostOrb,20,2,15,120,10,0.5,30,6,3.2,0.62,1.5,702,303
1004,FrostOrb,24,3,15,120,10,0.5,30,6,2.8,0.58,1.5,702,303
1005,FrostOrb,28,3,15,120,10,0.5,30,6,2.4,0.54,1.5,702,303
1006,FrostOrb,32,3,15,120,10,0.5,30,6,2.0,0.50,1.5,702,303
1007,FrostOrb,36,4,15,120,10,0.5,30,6,1.6,0.46,1.5,702,303
1008,FrostOrb,40,4,15,120,10,0.5,30,6,1.2,0.42,1.5,702,303
1009,FrostOrb,44,4,15,120,10,0.5,30,6,0.8,0.38,1.5,702,303
1010,FrostOrb,48,5,15,120,10,0.5,30,6,0.5,0.35,1.5,702,303
