Id,Name,FireInterval,ProjectileSpeed,Damage,Radius,HitRadiusMultiplier,ProjectileLifeTime,SearchRadius,SplitCount,MaxGeneration,SplitSearchRadius,HeightOffset,HitEffectIds
1001,RicochetOrb,1.0,60,6,3.0,1.5,5.0,60,2,5,30,30,303
1002,RicochetOrb,1.0,60,8,3.0,1.5,5.0,60,2,5,30,30,303
1003,RicochetOrb,1.0,60,10,3.0,1.5,5.0,60,2,5,30,30,303
1004,RicochetOrb,1.0,60,12,3.0,1.5,5.0,60,2,5,30,30,303
1005,RicochetOrb,1.0,60,14,3.0,1.5,5.0,60,2,5,30,30,303
1006,RicochetOrb,1.0,60,16,3.0,1.5,5.0,60,2,5,30,30,303
1007,RicochetOrb,1.0,60,18,3.0,1.5,5.0,60,2,5,30,30,303
1008,RicochetOrb,1.0,60,20,3.0,1.5,5.0,60,2,5,30,30,303
1009,RicochetOrb,1.0,60,22,3.0,1.5,5.0,60,2,5,30,30,303
1010,RicochetOrb,1.0,60,24,3.0,1.5,5.0,60,2,5,30,30,303
