Id,Name,FireInterval,Damage,SearchRadius,BeamLength,BeamWidth,HeightOffset,HitEffectIds,HitEffectScale,MaxHitEffects
1001,VoidBeam,2.7,7,90,90,6,30,201,1,5
1002,VoidBeam,2.7,9,90,90,6,30,201,1,5
1003,VoidBeam,2.7,11,90,90,6,30,201,1,5
1004,VoidBeam,2.7,13,90,90,6,30,201,1,5
1005,VoidBeam,2.7,15,90,90,6,30,201,1,5
1006,VoidBeam,2.7,17,90,90,6,30,201,1,5
1007,VoidBeam,2.7,19,90,90,6,30,201,1,5
1008,VoidBeam,2.7,21,90,90,6,30,201,1,5
1009,VoidBeam,2.7,23,90,90,6,30,201,1,5
1010,VoidBeam,2.7,25,90,90,6,30,201,1,5
