fps,low1pct,cpu_ms,gpu_ms,Gameplay Update,Physics,Render Collect,Shadow Pass,Scene Pass (FBX),Sprite Pass,Effect Update,Effect Draw,Debug/ImGui,gpu_shadow,gpu_scene,gpu_effect,gpu_sprite,effect_calls,effect_verts,effect_instances
43.8,10.0,22.84,0.10,0.05,0.29,0.01,0.22,0.33,0.12,0.09,0.24,1.42,0.041,0.103,0.000,0.000,2,120,70
52.2,10.0,19.17,0.18,0.10,0.52,0.01,0.30,0.54,0.16,1.62,1.10,2.15,0.084,0.109,0.000,0.000,22,8092,3437
54.8,10.0,18.24,0.24,0.08,0.47,0.01,0.27,0.46,0.15,1.94,1.40,0.34,0.134,0.112,0.001,0.000,26,15240,5774
56.1,10.0,17.81,0.27,0.07,0.45,0.01,0.24,0.46,0.17,1.80,1.44,0.37,0.154,0.105,0.000,0.001,20,7960,3158
56.9,10.0,17.57,0.28,0.06,0.38,0.01,0.21,0.38,0.16,2.05,1.48,0.28,0.157,0.110,0.001,0.001,16,48920,7764
57.5,10.0,17.41,0.27,0.11,0.27,0.01,0.20,0.34,0.15,2.00,1.58,0.27,0.134,0.106,0.000,0.001,22,35140,6590
57.8,10.0,17.30,1.01,0.09,0.50,0.01,0.45,0.87,0.27,1.71,0.91,0.48,0.529,1.529,0.018,0.005,2,8,3
60.5,29.8,16.54,1.48,0.20,0.45,0.02,0.70,1.28,0.41,0.44,0.47,0.69,0.239,0.461,0.001,0.005,12,1352,590
60.0,57.2,16.67,0.94,0.22,0.14,0.02,0.52,1.05,0.40,1.23,1.05,0.59,0.233,0.456,0.024,0.006,23,7052,2150
60.0,57.2,16.67,0.92,0.08,0.44,0.01,0.33,0.62,0.34,2.10,1.59,0.40,0.245,0.550,0.026,0.004,37,12944,3795
60.0,57.2,16.67,0.94,0.14,0.28,0.01,0.26,0.47,0.23,1.98,1.72,0.30,0.221,0.506,0.042,0.004,52,17476,5374
60.0,57.2,16.67,3.64,0.07,0.32,0.01,0.28,0.54,0.27,2.09,1.59,0.33,0.420,2.719,0.119,0.011,33,17700,5617
60.0,57.2,16.67,3.52,0.15,0.17,0.01,0.22,0.42,0.26,2.27,2.07,0.30,0.287,0.787,2.032,0.013,48,55088,9977
60.0,57.2,16.66,3.11,0.12,0.22,0.01,0.22,0.43,0.15,2.10,2.04,0.27,0.365,0.874,0.148,0.018,49,54360,9478
60.0,57.2,16.66,3.73,0.06,0.24,0.01,0.28,0.58,0.14,2.08,1.74,0.28,0.364,2.825,0.134,0.030,31,14768,3205
60.0,57.8,16.67,3.69,0.09,0.33,0.01,0.36,0.74,0.16,2.14,1.36,0.36,0.415,2.926,0.140,0.007,44,22036,6643
60.0,57.9,16.67,3.59,0.13,0.28,0.01,0.26,0.52,0.14,2.24,2.12,0.28,0.403,0.869,0.109,0.016,48,40064,11509
60.0,57.9,16.67,2.73,0.10,0.24,0.01,0.20,0.40,0.10,2.17,2.46,0.26,0.385,0.893,0.143,0.012,60,47232,13730
60.0,58.0,16.67,3.01,0.11,0.21,0.01,0.26,0.50,0.13,2.16,1.99,0.27,0.438,2.866,0.126,0.011,40,28628,7784
60.0,58.0,16.66,3.87,0.12,0.25,0.01,0.33,0.67,0.11,2.28,1.96,0.28,0.578,3.408,0.142,0.006,27,52684,7919
60.0,58.0,16.67,4.53,0.13,0.24,0.01,0.39,0.82,0.12,2.12,1.86,0.32,0.534,3.431,0.069,0.005,18,24380,5314
60.0,56.6,16.67,4.05,0.19,0.39,0.01,0.59,1.31,0.19,1.81,0.82,0.52,0.521,3.215,0.011,0.005,11,2132,817
60.0,56.6,16.67,4.16,0.17,0.38,0.01,0.56,1.24,0.16,1.68,1.08,0.46,0.564,3.339,0.073,0.008,28,13136,4522
60.0,56.6,16.67,4.49,0.13,0.25,0.01,0.42,0.87,0.12,1.93,1.48,0.32,0.607,3.464,0.098,0.003,33,19584,6751
60.0,56.6,16.67,4.28,0.13,0.26,0.01,0.38,0.82,0.12,2.07,1.89,0.33,2.549,1.615,0.097,0.007,38,19072,6587
60.0,56.6,16.67,4.73,0.15,0.27,0.01,0.50,1.02,0.12,2.47,1.93,0.32,0.744,1.525,0.156,0.005,60,51220,12829
60.0,56.6,16.67,3.83,0.09,0.21,0.01,0.32,0.68,0.10,2.39,2.59,0.27,2.796,1.895,0.364,0.012,60,79964,16044
60.0,56.6,16.67,4.22,0.08,0.19,0.01,0.30,0.64,0.09,2.43,2.58,0.26,2.794,1.848,0.180,0.018,50,36396,9295
60.0,56.6,16.67,4.73,0.13,0.24,0.01,0.50,1.02,0.11,2.03,1.66,0.31,2.855,1.880,0.102,0.008,29,17832,4040
60.0,57.7,16.66,5.17,0.15,0.31,0.01,0.58,1.22,0.14,2.12,1.49,0.34,2.704,1.906,0.138,0.012,29,12900,3649
60.0,57.7,16.67,5.12,0.15,0.31,0.01,0.56,1.19,0.13,1.98,1.74,0.33,2.613,1.890,0.159,0.008,47,20080,5660
60.0,57.7,16.67,5.63,0.14,0.30,0.01,0.63,1.35,0.12,1.93,1.64,0.30,2.886,2.224,0.143,0.011,39,15924,4457
60.0,57.7,16.67,5.41,0.17,0.25,0.01,0.53,1.09,0.12,2.21,1.89,0.27,2.754,2.345,0.158,0.011,36,56004,9474
60.0,57.7,16.67,5.41,0.08,0.25,0.01,0.52,1.09,0.12,2.28,2.06,0.28,2.538,2.239,0.100,0.013,33,37128,7700
60.0,57.7,16.67,5.10,0.08,0.27,0.01,0.51,1.20,0.12,1.75,1.30,0.32,0.682,1.526,0.150,0.009,32,13572,3221
60.0,57.7,16.67,5.17,0.09,0.35,0.01,0.69,1.63,0.14,2.32,1.64,0.41,2.546,2.103,0.172,0.010,45,23840,7583
60.0,57.8,16.67,5.06,0.14,0.26,0.01,0.50,1.04,0.11,2.24,2.21,0.27,0.695,2.730,0.063,0.005,54,42616,12559
60.0,57.8,16.67,2.93,0.12,0.21,0.01,0.41,0.89,0.10,2.30,2.52,0.26,0.706,2.735,0.039,0.004,63,47788,13697
60.0,57.8,16.67,3.16,0.07,0.19,0.01,0.46,1.01,0.11,2.20,2.08,0.25,0.696,2.739,0.052,0.004,43,33212,9543
60.0,57.8,16.66,3.53,0.12,0.23,0.01,0.51,1.14,0.12,2.29,2.17,0.26,0.614,2.676,0.056,0.005,36,56372,8334
60.0,57.5,16.67,3.52,0.09,0.33,0.01,0.62,1.38,0.14,2.11,1.91,0.30,0.592,2.660,0.038,0.003,28,18608,4060
60.0,57.3,16.67,3.18,0.12,0.47,0.02,1.24,2.39,0.21,1.60,0.77,0.61,0.621,2.605,0.005,0.004,7,1460,491
60.0,57.3,16.67,3.33,0.22,0.44,0.02,1.01,2.03,0.17,1.77,0.91,0.50,0.614,2.598,0.010,0.004,22,10416,3936
60.0,57.3,16.67,3.88,0.16,0.30,0.01,0.81,1.82,0.15,2.18,1.74,0.34,3.196,2.321,0.081,0.006,37,17424,5606
60.0,57.3,16.66,6.02,0.08,0.30,0.01,0.69,1.46,0.13,2.14,1.82,0.28,3.090,2.434,0.119,0.007,44,20696,6960
60.0,57.3,16.67,5.90,0.14,0.33,0.01,0.69,1.54,0.14,2.11,1.78,0.30,2.794,2.494,0.113,0.009,42,26208,8042
60.0,57.3,16.66,3.91,0.12,0.26,0.01,0.55,1.17,0.15,2.50,2.17,0.27,0.606,1.395,0.094,0.003,46,73560,14953
60.0,57.3,16.66,3.50,0.07,0.23,0.01,0.45,0.98,0.12,2.55,2.48,0.26,0.642,1.394,0.059,0.005,51,51296,13162
60.0,57.3,16.67,3.44,0.08,0.23,0.01,0.55,1.17,0.14,2.29,2.06,0.26,0.606,2.737,0.037,0.005,32,25900,6968
